code_name,smiles,barrier,charge,mult,complex_type,geom
ir_tbp_1_dft-pet3_1_dft-sime_1_dft-co_1_dft-icn_1_smi1_1_s_1,[Ir]([P+](CC)(CC)CC)([C-]1N(C)CCN(C)1)(C#[O+])(N=C=O),14.8,0,1,squareplanar,"[""Ir_squareplanar""]"
ir_tbp_1_dft-nme3_1_dft-sime_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,[Ir]([N+](C)(C)C)([C-]1N(C)CCN(C)1)(C#[N+][H])(N=C=S),12.4,0,1,squareplanar,"[""Ir_squareplanar""]"
ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-hicn_1_chloride_1_smi1_1_s_1,[Ir]([n+]1ccncc1)([P+](C)(C)C)(C#[N+][H])([Cl]),10.5,0,1,squareplanar,"[""Ir_squareplanar""]"
ir_tbp_1_dft-pme3_1_dft-ime_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,[Ir]([P+](C)(C)C)([C-]1N(C)C=CN(C)1)(C#[N+]C)(C#C[H]),9.4,0,1,squareplanar,"[""Ir_squareplanar""]"
ir_tbp_1_dft-pet3_1_dft-py_1_dft-co_1_dft-sh_1_smi1_1_s_1,[Ir]([P+](CC)(CC)CC)([n+]1ccccc1)(C#[O+])(S),8.9,0,1,squareplanar,"[""Ir_squareplanar""]"
ir_tbp_1_dft-pme3_1_dft-sime_1_dft-co_1_dft-icn_1_smi1_1_s_1,[Ir]([P+](C)(C)C)([C-]1N(C)CCN(C)1)(C#[O+])(N=C=O),15.5,0,1,squareplanar,"[""Ir_squareplanar""]"
ir_tbp_1_dft-pet3_1_dft-pet3_1_dft-hicn_1_dft-sh_1_smi1_1_s_1,[Ir]([P+](CC)(CC)CC)([P+](CC)(CC)CC)(C#[N+][H])(S),4.1,0,1,squareplanar,"[""Ir_squareplanar""]"
ir_tbp_1_dft-py_1_dft-sime_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,[Ir]([n+]1ccccc1)([C-]1N(C)CCN(C)1)(C#[N+][H])([N+](=O)([O-])),9,0,1,squareplanar,"[""Ir_squareplanar""]"
ir_tbp_1_dft-pme3_1_dft-nme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,[Ir]([P+](C)(C)C)([N+](C)(C)C)(C#[N+]C)(C#N),6.5,0,1,squareplanar,"[""Ir_squareplanar""]"
ir_tbp_1_dft-asme3_1_dft-iz_1_dft-co_1_dft-oh_1_smi1_1_s_1,[Ir]([As+](C)(C)C)(n1cc[n+]([H])c1)(C#[O+])(O),17.9,0,1,squareplanar,"[""Ir_squareplanar""]"
ir_tbp_1_dft-pet3_1_dft-ime_1_dft-co_1_dft-cch_1_smi1_1_s_1,[Ir]([P+](CC)(CC)CC)([C-]1N(C)C=CN(C)1)(C#[O+])(C#C[H]),8.2,0,1,squareplanar,"[""Ir_squareplanar""]"
ir_tbp_1_dft-ime_1_dft-nme3_1_dft-co_1_dft-no2_1_smi1_1_s_1,[Ir]([C-]1N(C)C=CN(C)1)([N+](C)(C)C)(C#[O+])([N+](=O)([O-])),7.7,0,1,squareplanar,"[""Ir_squareplanar""]"
ir_tbp_1_dft-nme3_1_dft-sime_1_dft-hicn_1_fluoride_1_smi1_1_s_1,[Ir]([N+](C)(C)C)([C-]1N(C)CCN(C)1)(C#[N+][H])(F),16.8,0,1,squareplanar,"[""Ir_squareplanar""]"
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,[Ir]([n+]1ccncc1)([C-]1N(C)CCN(C)1)(C#[N+][H])(N=C=O),17,0,1,squareplanar,"[""Ir_squareplanar""]"
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-co_1_dft-cch_1_smi1_1_s_1,[Ir]([n+]1ccncc1)([C-]1N(C)CCN(C)1)(C#[O+])(C#C[H]),14.3,0,1,squareplanar,"[""Ir_squareplanar""]"
ir_tbp_1_dft-phos_1_dft-phos_1_dft-co_1_dft-itcn_1_smi1_1_s_1,[Ir]([p+]1ccccc1)([p+]1ccccc1)(C#[O+])(N=C=S),6.6,0,1,squareplanar,"[""Ir_squareplanar""]"
ir_tbp_1_dft-py_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,[Ir]([n+]1ccccc1)([C-]1N(C)CCN(C)1)(C#[N+]C)(N=C=S),15.2,0,1,squareplanar,"[""Ir_squareplanar""]"
ir_tbp_1_dft-nme3_1_dft-phos_1_dft-iacn_1_dft-no2_1_smi1_1_s_1,[Ir]([N+](C)(C)C)([p+]1ccccc1)(C#[N+]C)([N+](=O)([O-])),9.6,0,1,squareplanar,"[""Ir_squareplanar""]"
ir_tbp_1_dft-ime_1_dft-nme3_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,[Ir]([C-]1N(C)C=CN(C)1)([N+](C)(C)C)(C#[N+][H])(N=C=O),18.1,0,1,squareplanar,"[""Ir_squareplanar""]"
ir_tbp_1_dft-pyz_1_dft-pyz_1_dft-co_1_dft-icn_1_smi1_1_s_1,[Ir]([n+]1ccncc1)([n+]1ccncc1)(C#[O+])(N=C=O),22,0,1,squareplanar,"[""Ir_squareplanar""]"
